File Path,Matched Keywords,Snippet 1,Snippet 2
.eslintrc.json,tokens?,"""message"": ""Hardcoded hex colors are forbidden in components. Use semantic tokens like var(--accent), var(--text-primary","""message"": ""Raw palette tokens (--ak-*) are forbidden in components. Use semantic tokens like var(--accent), var(--text-"
CHANGELOG.md,tokens?,- Password reset flow with secure tokens,- Authentication token refresh issues
CONTRIBUTING.md,tokens?,| `JWT_ACCESS_SECRET` | Access token secret (min 32 chars) | Use `openssl rand -hex 32` |,| `JWT_REFRESH_SECRET` | Refresh token secret (min 32 chars) | Use `openssl rand -hex 32` |
README.md,tokens?,│   └── design-system/    # UI components & tokens,- **Design Tokens:** `apps/web/src/design-tokens.js`
apps/api/INSTALLATION_STATUS.md,tokens?,- [ ] Login: `POST /api/v1/auth/login` → JWT token,
apps/api/PERFORMANCE_OPTIMIZATION_REPORT.md,tokens?,-- Refresh token lookups,"CREATE INDEX idx_refresh_tokens_user_valid ON refresh_tokens(user_id, is_revoked, expires_at);"
apps/api/QUICK_START.md,tokens?,- Kopier JWT token,- Lim inn: `Bearer <token>`
apps/api/README.md,tokens?,The API uses JWT-based authentication with access and refresh tokens.,"""accessToken"": ""eyJhbGc..."","
apps/api/SECURITY_AUDIT_REPORT.md,tokens?,- Access tokens (15 min expiry) ✅,- Refresh tokens (7 days expiry) ✅
apps/api/SETUP_AND_TEST_GUIDE.md,tokens?,2. Authenticate med bearer token,"""value"": ""Bearer {{token}}"""
apps/api/TRAINING_PLAN_ENDPOINTS_COMPLETION.md,tokens?,"-H ""Authorization: Bearer {token}""","-H ""Authorization: Bearer {token}"" \"
apps/api/docs/AI_ENHANCEMENT_ROADMAP.md,tokens?,ANTHROPIC_MAX_TOKENS=4096,"max_tokens: config.anthropic.maxTokens,"
apps/api/docs/API_TRAINING_PLAN.md,tokens?,All endpoints require authentication via Bearer token:,Authorization: Bearer <your_jwt_token>
apps/api/docs/FOCUS_ENGINE.md,tokens?,"-H ""Authorization: Bearer <admin-token>"" \","-H ""Authorization: Bearer <token>"""
apps/api/docs/INTAKE_FORM_COMPLETION_SUMMARY.md,tokens?,- Authentication (Bearer token),"-H ""Authorization: Bearer TOKEN"" \"
apps/api/docs/INTAKE_FORM_IMPLEMENTATION.md,tokens?,"-H ""Authorization: Bearer YOUR_TOKEN"" \","-H ""Authorization: Bearer YOUR_TOKEN"""
apps/api/docs/frontend/API_EXAMPLES.md,tokens?,"First, get an access token:","#     ""accessToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9..."","
apps/api/docs/frontend/CALIBRATION_API.md,tokens?,All endpoints require authentication via JWT Bearer token.,Authorization: Bearer <access_token>
apps/api/docs/frontend/calibration-api-service.ts,tokens?,* Get auth token from storage (customize based on your auth system),function getAuthToken(): string | null {
apps/api/package.json,tokens?,"""jsonwebtoken"": ""^9.0.2"",","""@types/jsonwebtoken"": ""^9.0.6"","
apps/api/prisma/seeds/exercises.ts,shadow,,
apps/api/scripts/openapi-to-postman.ts,tokens?,"key: 'token',","value: '{{accessToken}}',"
apps/api/src/api/v1/ai/routes.ts,tokens?,tokens: {,
apps/api/src/api/v1/annotations/index.ts,\bcolor[s]?\b,"color: { type: 'string', pattern: '^#[0-9A-Fa-f]{6}$', default: '#FF0000' },","color: { type: 'string' },"
apps/api/src/api/v1/annotations/schema.ts,\bcolor[s]?\b,"color: z.string().regex(/^#[0-9A-Fa-f]{6}$/).default('#FF0000'),","color: z.string().regex(/^#[0-9A-Fa-f]{6}$/).optional(),"
apps/api/src/api/v1/annotations/service.ts,\bcolor[s]?\b,color: string;,"color: input.color,"
apps/api/src/api/v1/auth/index.ts,tokens?,"refreshTokenSchema,","verifyResetTokenSchema,"
apps/api/src/api/v1/auth/schema.ts,tokens?,* Refresh token request schema,export const refreshTokenSchema = z.object({
apps/api/src/api/v1/auth/security.service.ts,tokens?,* Initiate password reset - generate token and send email,// Generate reset token (32 bytes = 64 hex characters)
apps/api/src/api/v1/auth/service.ts,tokens?,"generateAccessToken,","generateRefreshToken,"
apps/api/src/api/v1/badges/index.ts,tokens?,// Get playerId - either from token or by looking up user,
apps/api/src/api/v1/calendar/index.ts,tokens?,"googleEventId = await googleCalendar.createEvent(integration.accessToken, calEvent);",* GET /ical/:token
apps/api/src/api/v1/coaches/schema.ts,\bcolor[s]?\b,"color: z.string().regex(/^#[0-9A-F]{6}$/i, 'Color must be a valid hex color').default('#1E4B33'),",
apps/api/src/api/v1/coaches/service.ts,\bcolor[s]?\b,"color: input.color,",if (input.color !== undefined) updateData.color = input.color;
apps/api/src/api/v1/collections/service.ts,\bcolor[s]?\b,color?: string;,"color: input.color,"
apps/api/src/api/v1/dashboard/index.ts,tokens?,**Authentication:** Requires valid JWT token with 'player' role,"description: 'Unauthorized - Missing or invalid JWT token',"
apps/api/src/api/v1/emails/index.ts,tokens?,"resetToken: 'sample-reset-token-123456',",
apps/api/src/api/v1/goals/schema.ts,\bcolor[s]?\b,"color: { type: 'string', nullable: true },","color: { type: 'string', pattern: '^#[0-9A-Fa-f]{6}$' },"
apps/api/src/api/v1/goals/service.ts,\bcolor[s]?\b,color?: string;,"color: input.color,"
apps/api/src/api/v1/golf-courses/service.ts,\bcolor[s]?\b,"teeColor: teeData.color,","color: tee.teeColor,"
apps/api/src/api/v1/notes/schema.ts,\bcolor[s]?\b,"color: { type: 'string', nullable: true },","color: { type: 'string', pattern: '^#[0-9A-Fa-f]{6}$' },"
apps/api/src/api/v1/notes/service.ts,\bcolor[s]?\b,color?: string;,"color: input.color,"
apps/api/src/api/v1/notifications/index.ts,tokens?,"import { authenticateUser, verifyToken } from '../../../middleware/auth';",* Auth: Accepts token via:
apps/api/src/api/v1/player-insights/bounty-service.ts,\bcolor[s]?\b,"{ id: 'rookie', name: 'Rookie Hunter', nameNo: 'Nybegynner', minBounties: 0, icon: '🎯', color: '#9CA3AF' },","{ id: 'bronze', name: 'Bronze Hunter', nameNo: 'Bronse-jeger', minBounties: 5, icon: '🥉', color: '#CD7F32' },"
apps/api/src/api/v1/player-insights/sg-journey.ts,\bcolor[s]?\b,"color: '#FFD700', // Gold","color: '#C0C0C0', // Silver"
apps/api/src/api/v1/player-insights/types.ts,\bcolor[s]?\b,color: string;,
apps/api/src/api/v1/sessions/index.ts,tokens?,throw authorizationError('Player ID not found in token');,
